gender,study_hours,attendance,sleep_hours,parental_education,internet,extra_act,pt_job,p_grade,F_score,final_grade
Female,2.2,100,5.4,Bachelors,Yes,Yes,No,75.1,87.8,B
Female,4.6,98.1,7.5,Masters,Yes,No,No,64.4,85.8,B
Male,2.6,100,7.6,Masters,Yes,No,No,65.6,91.7,A
Female,3.7,92.4,5.8,Masters,Yes,No,Yes,73.5,84.9,B
Female,7.3,85.8,7.9,High School,Yes,Yes,No,56,99.3,A
Male,3.4,69,6,Masters,Yes,No,No,65.7,74.3,C
Female,5.2,82.5,7.1,Masters,Yes,Yes,No,59.7,93.3,A
Male,2.4,76.6,7.8,Masters,Yes,Yes,No,59.3,79.4,C
Female,3.4,100,6.8,Bachelors,No,Yes,No,44.7,77.4,C
Female,6.2,83.2,7.3,PhD,Yes,No,No,86.1,100,A
Female,2.6,86.2,6.2,Masters,Yes,Yes,No,61.8,76.8,C
Male,6.2,90.5,6.6,High School,Yes,Yes,No,84,100,A
Male,4.6,85.4,6.6,Bachelors,No,Yes,No,82.8,88.6,B
Female,2.7,100,5.9,PhD,Yes,No,No,54.6,79.1,C
Male,4.4,78.8,6.6,High School,Yes,No,No,56.9,79.4,C
Male,5,86.9,4.9,None,Yes,Yes,No,100,100,A
Male,4.4,77.6,6.2,Masters,Yes,No,Yes,91,86.7,B
Male,1.1,71.8,6.5,Bachelors,Yes,Yes,Yes,69.6,69.5,D
Male,2.4,78.9,6.5,High School,Yes,No,No,73.1,86.3,B
Male,3.1,84.6,6.5,High School,Yes,Yes,No,62.4,87.3,B
Female,3.4,80.7,6.7,None,No,No,No,75.2,72.1,C
Female,4.4,78.1,7.4,High School,Yes,Yes,No,61.4,92.3,A
Male,3.8,70.9,7.8,Masters,Yes,No,Yes,45.6,67.6,D
Female,1.5,84.2,6,Bachelors,Yes,Yes,No,54.1,72.7,C
Female,4.1,70,5.4,High School,Yes,Yes,No,70.3,76.1,C
Female,4.4,92.6,5.5,High School,No,Yes,No,56.4,81.2,B
Female,4.3,85.8,6.2,Bachelors,Yes,Yes,No,69.2,90.4,A
Male,5.1,70.4,6.4,None,Yes,Yes,No,57.1,73.2,C
Female,4.8,81.9,5.9,Bachelors,Yes,No,Yes,60.6,85.2,B
Female,4.2,77.5,5.2,Bachelors,Yes,Yes,No,80.2,96.4,A
Male,3.4,88.2,6.3,High School,Yes,No,Yes,73,81.9,B
Male,1,98.4,7,Bachelors,Yes,No,No,69.9,86.5,B
Female,4.1,66.2,7.5,Bachelors,Yes,No,No,80.5,84.7,B
Female,3.8,86.2,6.1,PhD,Yes,No,No,75.8,93,A
Female,3.9,83.4,6.3,Bachelors,Yes,No,No,87.4,78.9,C
Female,1.6,91.7,5.7,Bachelors,Yes,Yes,No,64.5,90.4,A
Female,1.9,87.1,6.8,High School,No,No,No,64.8,80.1,B
Female,5.1,77.5,5.8,None,Yes,Yes,Yes,54.4,78.1,C
Male,3.4,81.8,7.5,High School,Yes,No,No,64.9,70.1,C
Female,4.5,77,4.7,High School,Yes,No,No,81.6,90.2,A
Female,3.5,95.8,6.4,Masters,Yes,Yes,No,85.6,86.5,B
Male,3.5,85.2,7.2,Bachelors,Yes,Yes,No,81.5,93.5,A
Male,4.9,100,7,Bachelors,No,Yes,Yes,48.5,83.3,B
Male,2.7,84.4,10,Bachelors,Yes,No,Yes,83,81.2,B
Male,3.6,77.9,7.2,Masters,No,No,No,47.9,76,C
Female,2.8,69.9,5.6,High School,Yes,Yes,No,80.8,84.9,B
Female,2.8,67,6.7,Masters,Yes,No,No,65.6,79.2,C
Female,3,69.2,4.7,Bachelors,No,No,No,78.4,72.8,C
Female,3.8,87.7,6.7,Bachelors,Yes,Yes,Yes,54,69.9,D
Female,2.8,90.1,5.8,Bachelors,No,Yes,No,84.1,89.6,B
Female,5.4,69.2,7.9,High School,Yes,No,Yes,52.4,77.3,C
Male,2.2,94,6.1,Masters,No,No,No,62,64.6,D
Female,3.2,80.2,6.7,Bachelors,Yes,No,Yes,58,81.8,B
Male,2.8,86.5,6,High School,Yes,Yes,No,48.9,86.2,B
Male,5.7,100,8.9,Bachelors,Yes,Yes,Yes,71.1,100,A
Female,3.8,94,6.4,None,Yes,Yes,No,91.7,100,A
Male,5,82.3,9,Bachelors,Yes,Yes,No,100,100,A
Female,1.3,76.1,7.8,None,Yes,Yes,No,71.2,72,C
Male,3.9,63.5,7.4,High School,Yes,No,No,83.4,81.2,B
Female,4.8,77.8,7.2,High School,Yes,Yes,No,72.8,100,A
Male,3.6,82.9,7.3,High School,Yes,No,Yes,76,79.7,C
Female,5.1,75.1,4.5,Bachelors,Yes,Yes,No,65.9,89.4,B
Female,2.7,83.7,6.5,High School,Yes,No,No,72.3,77.8,C
Female,5.6,85.8,7.8,High School,Yes,Yes,Yes,76.4,93.4,A
Female,6.9,82.8,6.7,None,Yes,Yes,Yes,63.1,100,A
Female,3,78.5,5.1,Masters,Yes,Yes,No,69.1,76.5,C
Male,2.8,86.7,6.7,Masters,Yes,No,No,69.3,79.3,C
Male,5.7,89.4,8.8,High School,No,No,No,79.9,100,A
Male,5.9,74.1,8.3,High School,Yes,Yes,No,57.2,98.9,A
Female,2.7,99.1,6.7,High School,Yes,Yes,Yes,69.4,87.5,B
Male,2.9,84,7.9,Masters,Yes,No,Yes,92.9,85.2,B
Female,3.1,85.2,6.4,None,Yes,Yes,No,84,86,B
Female,1.5,92.1,4.8,Bachelors,Yes,Yes,Yes,86.2,80.7,B
Male,2.1,87.3,5.7,High School,Yes,No,No,70.3,79.9,C
Male,2,94.5,8.7,Bachelors,Yes,No,No,73.9,79.1,C
Female,2.3,87.9,6.5,High School,Yes,Yes,Yes,82,87.1,B
Male,3.4,78.9,6.5,Bachelors,Yes,Yes,No,88.7,90.7,A
Female,3.9,88.6,6.4,Bachelors,Yes,No,Yes,46.6,64.6,D
Female,5.8,73.6,9.1,Masters,No,Yes,No,54.2,77.9,C
Female,2,86.1,8.8,High School,Yes,Yes,Yes,85.7,82,B
Female,5,84.7,9.5,High School,Yes,No,No,66.7,92.8,A
Female,3.2,82.9,6.6,None,No,No,No,61.9,85.4,B
Male,3.4,83.7,7.2,High School,Yes,Yes,No,55,80.7,B
Male,4.5,66.2,5,High School,Yes,No,No,63.3,72.7,C
Female,1.8,79.5,8.6,High School,Yes,No,Yes,53.2,68.8,D
Female,4.1,85.9,5.4,High School,No,Yes,No,95.1,89.9,B
Male,3.7,86.6,7.1,Bachelors,No,No,No,69.7,83.3,B
Male,4.2,74.7,5.5,Masters,Yes,Yes,No,69.3,86.8,B
Female,3.9,97.7,6.1,High School,Yes,Yes,Yes,77.1,98.2,A
Male,7.2,76.3,5.8,Bachelors,Yes,No,No,81.5,100,A
Female,2.5,94.7,6.1,Masters,Yes,Yes,Yes,81.4,95.1,A
Male,2.7,89.3,6.2,Bachelors,Yes,Yes,No,82.9,93.5,A
Female,2.6,78.5,6.1,PhD,No,Yes,Yes,62.4,63.2,D
Male,2.7,100,7.8,PhD,Yes,Yes,No,66.4,100,A
Female,2.5,73.1,5.5,High School,Yes,No,Yes,79.2,77.1,C
Male,5.3,94.2,7.1,Masters,Yes,No,No,63.7,88.8,B
Male,5.6,95,8.3,Bachelors,Yes,No,No,69.9,100,A
Female,2.6,78.3,6.2,None,Yes,Yes,Yes,74.8,89.9,B
Male,2.3,98.9,5.9,Bachelors,Yes,Yes,No,79.4,87.6,B
Female,4.2,82.5,6.5,None,No,Yes,Yes,48.7,68,D
Male,2.7,87.9,8.2,Masters,No,Yes,No,78.6,82.2,B
Female,4.4,87.6,7,High School,Yes,Yes,No,67.2,94,A
Male,3.8,83.7,6.2,Bachelors,No,No,No,78.5,90.9,A
Female,1.2,93.1,7.4,None,Yes,No,No,79.3,85,B
Male,5.8,92.9,5.5,PhD,Yes,No,Yes,89.3,100,A
Female,6.2,67.5,7.6,High School,Yes,Yes,No,86.2,100,A
Male,2.6,98,7.3,Masters,Yes,No,Yes,86.2,87.4,B
Female,2.9,68.4,6.4,High School,No,Yes,No,87.3,84.8,B
Female,3.9,95.3,5.8,High School,Yes,Yes,No,73.5,89.5,B
Female,4,96.3,5.7,Bachelors,Yes,No,No,70.4,92.3,A
Male,4.5,74.1,7.4,High School,Yes,No,Yes,80.5,86.6,B
Female,6.5,80.9,8.3,Masters,Yes,Yes,No,78.8,100,A
Male,3.2,73.9,6,High School,Yes,Yes,No,66.3,75.7,C
Female,2.3,82.9,7.4,Masters,Yes,Yes,Yes,74.9,87.3,B
Male,1.4,81.9,4.3,High School,Yes,No,No,69.6,66.6,D
Female,2.4,92.8,6.1,High School,Yes,Yes,No,59.8,74.1,C
Male,3.5,98.1,6.8,High School,Yes,No,No,85.5,100,A
Male,6.2,99,5.7,High School,Yes,Yes,No,70.7,100,A
Female,2.7,79.4,5.7,High School,Yes,Yes,No,94.6,74.3,C
Male,3.8,82.9,6,High School,Yes,Yes,Yes,50.5,71.1,C
Male,3.5,68.2,7.2,Bachelors,Yes,Yes,No,63.3,66.7,D
Female,5.3,76.9,6.6,High School,Yes,Yes,Yes,70.4,82.1,B
Male,7.3,94.6,4.1,Bachelors,Yes,No,No,83.6,88.5,B
Male,2.7,100,4.3,Bachelors,No,No,No,74.8,79.4,C
Male,2.8,72.7,6.1,PhD,Yes,No,No,73.7,71,C
Female,5.1,79.1,7.3,None,Yes,No,No,56.5,85.4,B
Male,4.5,84.7,3.5,Bachelors,No,No,Yes,56.1,61.8,D
Female,6.3,87.8,6.2,High School,Yes,No,No,73.9,99.6,A
Male,4.4,76.9,6.2,High School,Yes,No,No,53.6,76.1,C
Male,3,89.2,8.5,None,Yes,Yes,Yes,63.6,90.4,A
Male,4.4,80.3,6.3,High School,No,Yes,No,76,93.3,A
Female,5.2,84.9,7.3,High School,No,Yes,No,58.2,88.9,B
Male,4.7,90.5,7,High School,Yes,Yes,No,89.3,99,A
Male,4.3,85.1,4.2,High School,Yes,Yes,Yes,84.7,100,A
Female,5.1,80.6,7.7,High School,Yes,No,No,51.1,74.5,C
Male,5.3,83.9,7.1,Masters,No,Yes,Yes,58.8,72.8,C
Female,5.6,84.1,7.4,High School,No,Yes,Yes,42.6,76.1,C
Female,4.5,81.3,10,Bachelors,Yes,Yes,Yes,60.6,99.5,A
Male,3.2,82.4,4.3,High School,Yes,Yes,Yes,79.2,79.9,C
Female,3.7,100,8.9,High School,Yes,Yes,Yes,65,88.2,B
Male,5.3,90.6,6.5,None,Yes,Yes,No,75.5,88.9,B
Female,2.3,82,7.1,High School,Yes,Yes,No,51.7,77.9,C
Female,4.1,92,6.7,Masters,Yes,Yes,Yes,79.6,97.2,A
Male,2.9,81.7,6.3,Bachelors,Yes,No,Yes,63.3,79.3,C
Female,3.5,96.7,6.1,High School,Yes,No,No,70.1,84.2,B
Female,5.4,88.7,7.2,None,No,Yes,No,68.9,86.3,B
Female,3.8,83.9,5,High School,Yes,Yes,Yes,54.7,67.6,D
Female,3.6,89.5,7.7,PhD,Yes,Yes,Yes,56.2,80.7,B
Female,1.5,69.3,6.3,High School,Yes,No,Yes,81.6,64.7,D
Male,4.6,73.7,5.4,PhD,No,Yes,Yes,74.8,71.8,C
Female,4.5,73.1,6.3,High School,Yes,Yes,Yes,82.6,84.9,B
Male,6.7,86.4,8.3,Bachelors,Yes,No,No,73.9,100,A
Female,3,100,6.2,Masters,Yes,Yes,Yes,71.7,82.4,B
Male,3.8,100,7.2,None,Yes,Yes,No,49.3,87.3,B
Male,3.9,91.4,5.9,None,Yes,Yes,Yes,66.8,84.8,B
Female,5.9,90,7.7,Masters,Yes,No,No,69.7,96.4,A
Female,3.4,67,7.6,PhD,No,No,No,93.4,84.3,B
Female,3.9,79.6,9,High School,Yes,No,No,78.2,84.5,B
Male,4.4,77.1,6.6,High School,Yes,Yes,No,88.4,94.7,A
Female,3.8,78.8,7.6,High School,Yes,Yes,No,77.2,89.6,B
Male,2.8,83.3,6.9,Bachelors,Yes,No,No,61.5,68.6,D
Male,3.8,80.3,8.4,Bachelors,Yes,No,No,71.4,92.8,A
Male,5.1,65.2,5.9,Bachelors,Yes,Yes,No,72.8,80.7,B
Female,2,92.5,7.7,High School,Yes,No,No,58.7,77.6,C
Female,3.7,74.3,6.6,Masters,Yes,Yes,No,65.4,87.7,B
Male,2.4,87.4,6.7,High School,Yes,Yes,No,67.5,86,B
Male,5.3,100,6.9,High School,Yes,No,No,89.3,100,A
Female,1.2,75.8,7.1,Bachelors,Yes,Yes,Yes,45,57.3,F
Male,2.7,59.7,6.7,Masters,No,No,Yes,84.5,75.6,C
Female,4.1,82.1,7.1,Masters,Yes,Yes,No,58.8,87.3,B
Male,5.8,96,8.7,Bachelors,Yes,Yes,Yes,53.5,88.8,B
Female,3.4,100,8,High School,Yes,No,No,84.2,91.8,A
Male,2.7,72.7,7.8,Bachelors,Yes,No,Yes,78.8,66,D
Female,6.3,90,6.3,High School,Yes,Yes,No,85.1,100,A
Male,1.3,80.3,5.7,Bachelors,No,Yes,No,79.6,71.1,C
Female,0.5,83.9,7.9,Bachelors,Yes,No,No,94.7,88.8,B
Female,4.2,100,7.9,High School,Yes,Yes,No,76.7,100,A
Male,2.7,70,8.6,High School,Yes,No,No,68.1,85.2,B
Male,2,87.5,6.1,None,Yes,No,No,74.1,75.4,C
Female,4.6,89.7,6.5,None,Yes,Yes,No,84.9,100,A
Male,3.9,95.9,4.8,Bachelors,Yes,Yes,Yes,60.6,78.9,C
Female,2.7,86,6.3,High School,Yes,Yes,No,62.2,83.4,B
Male,1.6,88.1,8,High School,No,No,No,66.3,63.4,D
Female,4.8,81.1,6.2,Bachelors,Yes,Yes,No,44.7,80.7,B
Female,4.5,87.7,7.6,None,Yes,Yes,No,71.7,80.8,B
Female,3.4,81.6,6.6,High School,Yes,Yes,No,47.4,73.1,C
Female,6.3,91.2,7.2,Masters,Yes,No,Yes,70.6,99.8,A
Female,1.9,81.3,5.4,High School,Yes,Yes,Yes,80.4,73.5,C
Female,1.2,88.8,6.9,None,Yes,Yes,No,64.3,68.2,D
Male,2.5,84.7,3.2,Bachelors,No,No,No,90.1,83.9,B
Male,3.4,96.3,6.6,Masters,No,No,No,52.5,75.3,C
Male,3.9,84.5,4.8,High School,No,No,Yes,84.3,78.7,C
Female,3.1,67.3,8.2,Bachelors,Yes,Yes,No,78.1,82.8,B
Female,4,97.6,7.7,High School,Yes,Yes,No,49.4,100,A
Female,1.6,75.9,7.4,High School,Yes,No,No,100,92.6,A
Female,5.7,78.5,8.6,None,Yes,Yes,Yes,69.2,99.1,A
Male,3.4,79,5.7,None,Yes,No,Yes,59.5,76.2,C
Male,5.2,98.7,8.9,PhD,Yes,No,Yes,53.1,90.9,A
Female,4,63.6,7.9,Bachelors,Yes,Yes,Yes,67.4,63.3,D
Male,4.2,100,6.5,Masters,Yes,No,Yes,68.5,85,B
Male,4.4,95.6,8.2,High School,Yes,No,Yes,71.2,88.7,B
Female,4.2,87.2,5.5,High School,Yes,Yes,No,66.4,75.3,C
Male,4.5,84.5,5.8,High School,Yes,Yes,No,77.6,84.9,B
Female,5.5,87.9,6.1,Bachelors,Yes,Yes,No,65.3,81.1,B
Male,3.8,90.2,6.2,Bachelors,Yes,Yes,Yes,46.8,75.6,C
Female,4.6,91.5,5.5,High School,Yes,Yes,No,68.2,95.5,A
Female,3.4,90.6,8.3,Bachelors,Yes,No,No,41.6,83.3,B
Female,5.7,85.9,6.5,Masters,Yes,No,Yes,74.2,95.7,A
Female,2.5,83,7.2,Bachelors,Yes,Yes,No,58.2,70.4,C
Male,6.2,83.5,6.1,High School,Yes,Yes,Yes,72,82.7,B
Female,3.4,83.1,4.6,High School,Yes,No,No,85.8,76.7,C
Female,1.4,96.3,7.1,High School,Yes,Yes,No,58.6,68.4,D
Female,3.7,90.9,4.5,High School,Yes,No,No,82.7,84.6,B
Male,2.5,55.6,6.7,Bachelors,Yes,Yes,No,64.8,67.7,D
Female,4.8,91.6,5.2,Bachelors,No,Yes,No,91,89.2,B
Male,2.5,86.9,9.2,Masters,Yes,Yes,No,65.6,85,B
Female,2.8,84.8,7.9,Bachelors,Yes,No,No,59.9,77.3,C
Male,0.7,81.1,6.9,Masters,Yes,Yes,Yes,78.2,72.2,C
Male,2.8,96.2,8.3,High School,Yes,No,Yes,64.8,89,B
Female,0.5,94.5,5.8,Bachelors,Yes,Yes,No,59.9,63.2,D
Male,1.1,77.3,7.5,Masters,Yes,Yes,No,64.3,73.2,C
Female,4.6,89.1,7,High School,No,Yes,No,69.5,87,B
Female,4.7,75.3,7.1,High School,Yes,No,Yes,86.1,88.5,B
Female,4.1,71.2,8.3,PhD,Yes,No,No,46.8,80.4,B
Male,2,78.7,7.7,High School,Yes,Yes,Yes,70.3,80.2,B
Male,3.4,93.6,7.1,Masters,No,Yes,No,77.5,80.9,B
Female,3.5,94.5,4.8,High School,Yes,Yes,No,72.3,86.4,B
Female,1.8,90.1,5.6,Masters,Yes,Yes,No,85.7,86.3,B
Male,5.8,92.3,6.7,High School,Yes,Yes,Yes,69.1,93.4,A
Female,4.8,90.2,6.9,High School,Yes,No,No,67.8,95.1,A
Female,3.2,78.6,5.4,Bachelors,Yes,No,No,77.1,83.9,B
Female,3.5,89.3,9.7,High School,Yes,Yes,No,71.2,100,A
Male,3.8,93,8.6,Bachelors,Yes,Yes,No,65.3,80.9,B
Male,0.5,92.5,7.5,High School,Yes,No,No,76.2,76.4,C
Male,3.1,96.9,6.9,High School,No,No,No,62.2,73.6,C
Female,2.5,92.1,6.5,High School,Yes,Yes,No,62.7,84,B
Female,2,88.5,5.7,High School,No,Yes,Yes,63.7,58.6,F
Female,3.1,95.7,6.9,None,Yes,Yes,No,86.2,96.3,A
Male,6.2,84.7,7.1,High School,Yes,Yes,No,31.3,78.8,C
Female,4.5,76.2,5.3,Bachelors,Yes,Yes,Yes,74.7,79.8,C
Female,2.6,83.4,7.2,High School,Yes,Yes,Yes,70.4,70,C
Female,4.4,77.6,6.6,High School,Yes,No,No,49.8,75,C
Female,5.6,78.2,4.5,None,Yes,Yes,Yes,73.7,95,A
Male,4.9,83.6,5.8,High School,Yes,Yes,No,75.7,92.4,A
Male,3.6,77.1,6.3,None,Yes,Yes,Yes,77.1,86.4,B
Female,2.5,81.9,9.1,High School,Yes,No,No,38.2,79.1,C
Male,4.5,66.1,7.5,Masters,Yes,No,No,86.4,91.5,A
Male,4.1,87.1,5.2,Bachelors,Yes,Yes,No,61.1,80.3,B
Female,4.8,85,7.4,PhD,Yes,Yes,No,78.2,98.3,A
Female,4.5,76.8,4.9,Bachelors,No,No,No,78.9,79.3,C
Male,5.1,91.6,8.1,Bachelors,Yes,Yes,No,59.5,89.5,B
Female,2.7,94.4,6.2,High School,Yes,Yes,Yes,77.9,75.7,C
Male,5.5,68.9,6.7,High School,Yes,Yes,Yes,65.4,89.6,B
Female,3.8,77.4,8.4,None,Yes,Yes,Yes,45.1,71,C
Male,6.6,77.3,5.3,High School,No,Yes,No,84,96.8,A
Female,2.5,75.6,5.1,Bachelors,Yes,No,Yes,60.7,61.9,D
Male,6.1,93.3,6.1,Masters,Yes,No,Yes,59.7,93.9,A
Male,3.8,83.1,8,High School,Yes,Yes,No,65.2,81.3,B
Male,2.5,82.4,5,None,Yes,No,No,73.3,77.6,C
Female,2.8,65,3.4,Masters,No,Yes,No,69.3,71.4,C
Male,3,91.4,6.3,Bachelors,Yes,Yes,Yes,76.6,89.4,B
Male,4.1,72.6,7.5,PhD,Yes,No,Yes,53.9,74.3,C
Female,4.3,85.6,8.2,High School,Yes,No,No,61.1,76,C
Female,2.6,87.8,6.2,High School,Yes,Yes,Yes,68.6,96.3,A
Male,3.5,98.6,6.3,Bachelors,Yes,Yes,No,92.8,100,A
Male,6.7,71.9,8.2,High School,Yes,No,No,68.6,99.9,A
Female,6.1,54.8,4.6,Masters,Yes,No,No,83,83.8,B
Female,4.2,86.8,6.3,None,No,No,Yes,70.5,79.4,C
Female,3.6,100,7,Bachelors,Yes,Yes,No,64.2,86,B
Female,3.7,97.4,7.3,High School,Yes,Yes,No,67,97.9,A
Female,4.4,87.1,6.2,None,Yes,Yes,No,68,90.5,A
Male,2,80.1,6.8,Bachelors,No,Yes,No,77.2,70.4,C
Female,3.1,93.1,3.8,Bachelors,Yes,No,Yes,86.5,82.9,B
Male,1,75.3,6,Bachelors,Yes,Yes,Yes,74.3,75.5,C
Male,4.1,89.8,7.3,None,Yes,Yes,No,84.2,100,A
Male,4.5,90.1,5.6,Bachelors,Yes,No,No,58.4,94,A
Female,2.8,95.6,6.9,Masters,Yes,Yes,No,65,88.9,B
Male,5.9,100,7.3,Masters,Yes,Yes,No,61.3,97.3,A
Male,1.7,88.9,6.4,High School,Yes,No,No,73.8,59.5,F
Female,1.3,79.9,7,Bachelors,Yes,No,No,65.7,73.3,C
Male,3.8,84.7,5.6,Masters,Yes,No,No,78.8,88,B
Male,5.1,67.3,6.6,Bachelors,No,Yes,Yes,58.8,74.8,C
Female,6,78.1,7.5,Masters,No,No,No,70.5,89.9,B
Male,2.8,80.9,7,None,Yes,No,Yes,78.2,72.6,C
Male,5.1,79.8,6.1,Bachelors,Yes,Yes,No,45.2,83.6,B
Male,3.4,86.5,7.1,Masters,Yes,Yes,No,95.5,100,A
Female,3.2,76.8,7.7,Masters,Yes,No,No,66.6,84.3,B
Female,4.8,96.2,4.3,Masters,Yes,Yes,Yes,45.7,85.4,B
Female,4.5,85,8.2,Bachelors,Yes,No,No,71.9,95.2,A
Male,1.1,84.9,6.4,High School,Yes,Yes,Yes,70.4,69,D
Male,5.7,81.7,7.3,Bachelors,Yes,Yes,No,69,94.2,A
Female,5.6,86.6,8.2,Masters,Yes,Yes,Yes,81.9,99.7,A
Male,2.6,93.3,5.2,Bachelors,Yes,No,No,79,85.8,B
Male,4.1,76.3,5.9,Masters,Yes,Yes,No,73.6,91.7,A
Female,4.2,78.4,6.5,Bachelors,Yes,Yes,No,75.4,92.2,A
Female,3.9,82,5.9,Bachelors,Yes,No,No,68.7,96.3,A
Male,2.7,71.5,8.9,High School,Yes,No,Yes,91.3,97.6,A
Male,2.5,76.8,5.8,Masters,Yes,No,Yes,52.2,66.4,D
Male,3.5,80.2,6.1,Bachelors,Yes,Yes,No,71.7,60.8,D
Female,5.3,93.7,7,High School,No,Yes,No,70.8,99.8,A
Female,4.3,87.6,5.4,High School,Yes,No,Yes,79.8,85.2,B
Female,2.9,86.9,6.3,Masters,Yes,No,No,59.9,73.2,C
Female,4.7,93.5,7.2,Bachelors,Yes,Yes,No,49.1,83.8,B
Male,0.5,83.6,6.4,High School,No,Yes,Yes,71.9,61.3,D
Female,5.2,88.9,6.7,None,No,No,Yes,73.4,90.6,A
Female,0.9,84,6.2,Masters,Yes,Yes,Yes,87.9,67.7,D
Female,3,87.7,5,None,No,No,No,54.8,63.6,D
Female,1.8,79.2,7.2,Bachelors,Yes,Yes,No,83.9,84.1,B
Female,1.6,60.6,8.9,Bachelors,Yes,Yes,No,98.4,86.2,B
Male,5.2,83.7,6.8,PhD,Yes,No,No,65.5,93.9,A
Male,2.8,99.2,7.1,Bachelors,Yes,Yes,Yes,54.5,73.9,C
Female,4,94.3,7.6,Masters,No,Yes,No,65.1,79.3,C
Male,3.4,94.7,5.3,High School,Yes,Yes,No,70.2,83.8,B
Female,4.2,97.4,8.8,Bachelors,No,Yes,Yes,76.8,91.7,A
Female,3.6,85.9,7,High School,Yes,No,No,62.9,91.7,A
Male,1.6,87,8.8,High School,Yes,No,No,88.7,74.4,C
Male,5,78.8,5.9,High School,Yes,No,No,56.6,81.5,B
Female,2.8,81.8,9,High School,Yes,Yes,No,49.1,67.7,D
Female,1.2,91.2,7.7,None,Yes,Yes,Yes,83.3,71,C
Female,2.9,97,7.5,High School,Yes,Yes,Yes,42.7,79.9,C
Male,5.8,83.6,7.1,Masters,No,No,No,67.6,92.2,A
Female,4.8,80.5,6.5,Masters,Yes,No,Yes,100,100,A
Female,3,85,8.2,Bachelors,Yes,No,No,69.9,89.6,B
Female,3,91,7,High School,Yes,Yes,No,56.6,77.5,C
Male,3,70.6,4.4,Masters,Yes,Yes,No,69.3,72.6,C
Female,6.6,62,5.5,Bachelors,No,Yes,No,69.4,97.9,A
Female,4.1,79.5,6.6,Masters,Yes,Yes,No,71.9,85.5,B
Male,4.1,72.8,7.2,Masters,Yes,Yes,No,77.9,92.1,A
Female,5,79.9,6.7,None,Yes,No,No,57.5,84.5,B
Female,3.9,83.5,8.3,Bachelors,Yes,Yes,Yes,90.3,82.8,B
Male,3.1,80.5,4.5,High School,Yes,Yes,Yes,72.9,65.4,D
Female,3.2,99.5,7,Bachelors,Yes,Yes,No,78.7,89.6,B
Male,3.4,88.3,4.6,High School,Yes,No,Yes,62.5,83.1,B
Male,3.4,88,7.7,PhD,Yes,No,Yes,85.4,94.2,A
Female,4.6,91.2,6.7,High School,Yes,No,Yes,66.9,92.9,A
Female,3.6,73.6,7.3,High School,Yes,No,No,73.3,77.1,C
Female,4.6,95.4,5.8,Masters,Yes,Yes,No,58.8,98.3,A
Female,3.4,84.2,8.3,Bachelors,Yes,No,Yes,58,72.1,C
Male,3.6,91.7,8.1,Bachelors,Yes,Yes,No,78.3,94.6,A
Female,0.5,74.3,7.5,Bachelors,Yes,Yes,No,64.7,67.1,D
Male,4.9,69.5,6.6,PhD,No,No,Yes,59.8,72.2,C
Female,4,93.2,7.5,High School,Yes,No,No,62.3,95.6,A
Female,5,88.8,6,PhD,Yes,Yes,No,78.4,91.9,A
Female,0.5,76,7.8,High School,No,Yes,No,62.5,54.1,F
Male,6.6,76.3,8.8,Masters,Yes,Yes,No,68.6,98.5,A
Female,3.3,96.3,8.1,Masters,Yes,Yes,Yes,70.2,85,B
Female,5.2,73.1,5.9,High School,Yes,Yes,No,47,99.1,A
Female,1.9,100,7.2,Bachelors,Yes,Yes,Yes,52.3,78.2,C
Female,4.4,76,5.2,High School,Yes,Yes,No,74,83.8,B
Male,1.9,91.4,7.5,Masters,Yes,No,No,61.2,70.7,C
Female,2.6,81.7,7.3,Bachelors,No,Yes,No,82.7,69.9,D
Male,6.4,91,4.6,Bachelors,Yes,Yes,Yes,81.6,93.7,A
Male,3.2,79.6,5.4,High School,Yes,Yes,No,78.6,84.9,B
Male,3.8,83.4,6.5,High School,Yes,No,No,91.8,100,A
Male,4.8,85.4,6.4,High School,Yes,Yes,No,69,97.5,A
Male,4.2,75,5.3,High School,Yes,Yes,No,77.8,88,B
Male,3.7,92.4,7.3,Bachelors,Yes,Yes,No,63,85,B
Female,4,79.9,7.1,PhD,Yes,No,No,99.4,98.9,A
Male,7.1,82.7,6.6,Masters,Yes,No,No,93.8,100,A
Male,3.4,75.1,5.9,Bachelors,No,No,No,70.1,85,B
Male,3.8,59.4,8.1,None,No,No,No,74.6,74.3,C
Female,5.1,83.1,8.8,Masters,Yes,No,No,86.3,99.6,A
Female,5.2,100,6.2,None,Yes,No,Yes,68.2,79.8,C
Male,5.3,92.8,6.1,Bachelors,Yes,Yes,No,62.1,91.3,A
Female,4.5,84.8,7.4,High School,No,Yes,No,80.5,95,A
Male,1.8,82.4,6.4,High School,Yes,No,Yes,70.9,66.6,D
Male,6,85.2,6.6,Masters,Yes,Yes,No,72.2,93.1,A
Female,1.8,90.5,7.7,High School,Yes,Yes,No,60,81.8,B
Male,4,73.2,4.5,High School,Yes,No,No,49.4,62.9,D
Female,2.4,96.1,8.4,Bachelors,Yes,Yes,No,72.8,94,A
Female,3.4,92.2,6.9,Bachelors,Yes,No,Yes,80.9,85,B
Male,4,92.2,6.3,Bachelors,Yes,No,Yes,67.3,82.4,B
Male,4,89.4,6.7,High School,Yes,Yes,No,87.2,89.5,B
Female,4.1,85.2,6.8,Bachelors,Yes,No,Yes,61.6,83.3,B
